Song Name,Chunk Number,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"moves like jagger - studio recording from the voice performance",7,0.6003,0.767,-7.6006,0.0945,0.1393,0.0125,0.1988,0.6068,112.4687
"moves like jagger - studio recording from the voice performance",1,0.8016,0.5786,-8.6591,0.0944,0.1645,0.0457,0.106,0.6875,124.1299
"moves like jagger - studio recording from the voice performance",2,0.7341,0.7407,-6.1694,0.0738,0.0215,0.0102,0.1399,0.5807,118.1349
"moves like jagger - studio recording from the voice performance",3,0.773,0.7018,-7.8379,0.0724,0.0194,0.0089,0.1311,0.6785,121.4357
"moves like jagger - studio recording from the voice performance",4,0.7319,0.7723,-6.6826,0.07,0.0337,0.0116,0.151,0.5995,122.2523
"moves like jagger - studio recording from the voice performance",5,0.687,0.8081,-5.679,0.1645,0.0379,0.0064,0.1664,0.564,121.3889
"moves like jagger - studio recording from the voice performance",6,0.6851,0.8195,-6.1179,0.0929,0.0317,0.0032,0.1843,0.6498,123.2974
"moves like jagger - studio recording from the voice performance",7,0.6003,0.767,-7.6006,0.0945,0.1393,0.0125,0.1988,0.6068,112.4687
"six feet under",1,0.5423,0.1154,-15.0802,0.0456,0.8437,0.0192,0.1169,0.2101,94.3732
"six feet under",2,0.4236,0.231,-14.9775,0.0353,0.8913,0.1964,0.1094,0.0742,109.6889
"six feet under",3,0.4249,0.244,-14.7348,0.0419,0.8099,0.0346,0.1233,0.1065,94.885
"six feet under",4,0.4021,0.3265,-12.6985,0.0358,0.8173,0.0849,0.1226,0.125,138.1494
"six feet under",5,0.4583,0.2084,-13.2209,0.0356,0.7936,0.0112,0.1164,0.1836,98.6522
"six feet under",6,0.3859,0.0118,-19.331,0.0436,0.9484,0.0326,0.1081,0.1636,149.0589
"six feet under",7,0.1851,0.0521,-28.3652,0.0413,0.7767,0.6845,0.1437,0.0169,92.1271
"deva deva from brahmastra",1,0.3949,0.1485,-14.7741,0.0383,0.9454,0.0316,0.1202,0.1443,106.2799
"deva deva from brahmastra",2,0.6437,0.5594,-9.4165,0.0399,0.6146,0.0342,0.1066,0.3616,114.0353
"deva deva from brahmastra",3,0.5546,0.5853,-8.3179,0.0579,0.6013,0.0043,0.1508,0.3468,117.998
"deva deva from brahmastra",4,0.516,0.6002,-9.0221,0.0333,0.5853,0.0228,0.1286,0.3519,111.5665
"deva deva from brahmastra",5,0.4432,0.6808,-8.999,0.0365,0.5721,0.3265,0.1322,0.3361,118.16
"deva deva from brahmastra",6,0.5621,0.464,-9.8644,0.0294,0.7489,0.0049,0.1152,0.3261,113.0652
"deva deva from brahmastra",7,0.4882,0.6171,-8.6482,0.0376,0.6309,0.0205,0.1338,0.318,114.6971
"deva deva from brahmastra",8,0.4909,0.7216,-8.4672,0.0373,0.4809,0.0438,0.1294,0.3514,114.7189
"deva deva from brahmastra",9,0.3653,0.4406,-13.1726,0.042,0.726,0.633,0.126,0.1614,110.4527
"deva deva from brahmastra",10,0.6801,1,2.3489,0.1499,0.1153,0.8041,0.1828,0.0024,156.8224
"tum jo aaye",1,0.6974,0.7093,-8.5446,0.0636,0.4537,0.0593,0.1354,0.9216,95.4433
"tum jo aaye",2,0.6377,0.7101,-7.6029,0.0769,0.5132,0.0072,0.1404,0.7609,116.2674
